[-3.772701359202833e-12, array([1.47064758e-08]), array([2.61242668e-08])]
[-2.7107690731128073e-08, array([6.15151339e-08]), array([1.09274159e-07])]
[-5.508473367982854e-08, array([7.21175423e-08]), array([1.28108049e-07])]
[-5.934471859336725e-08, array([1.07038009e-07]), array([1.79161094e-07])]
[-1.0153433541234359e-07, array([2.21427222e-07]), array([2.24492641e-07])]
[-1.2493304357364435e-07, array([2.78837053e-07]), array([2.25274788e-07])]
[-1.4718765157295327e-07, array([2.98761128e-07]), array([2.26018691e-07])]
[-1.7904294041690042e-07, array([3.27280487e-07]), array([2.27083516e-07])]
[-2.5212532222038775e-07, array([3.6545239e-07]), array([2.29526437e-07])]
[-2.8239293407349417e-07, array([3.85631514e-07]), array([2.30538191e-07])]
[-3.065666507246713e-07, array([4.01747897e-07]), array([2.31346244e-07])]
[-3.437622337821365e-07, array([4.29216676e-07]), array([2.32723491e-07])]
[-3.593513829896456e-07, array([4.71231323e-07]), array([2.67106154e-07])]
[-3.7105991619790925e-07, array([5.14546017e-07]), array([3.46739315e-07])]
[-3.793197276059071e-07, array([5.45102466e-07]), array([3.94997221e-07])]
[-3.9354581502163554e-07, array([5.75565466e-07]), array([4.78113063e-07])]
[-4.006448361889032e-07, array([5.90766939e-07]), array([5.28472276e-07])]
[-4.024449630540423e-07, array([9.57889258e-07]), array([1.74466961e-06])]
[-4.031335580783688e-07, array([1.01909639e-06]), array([1.75452929e-06])]
[-4.037787773085164e-07, array([1.07644797e-06]), array([1.81443306e-06])]
[-4.0457514948765875e-07, array([1.10457866e-06]), array([1.85189491e-06])]
[-4.1809317550079657e-07, array([1.14686976e-06]), array([1.8951699e-06])]
[-4.473182073137781e-07, array([1.17700459e-06]), array([2.1870332e-06])]
[-4.503933903945091e-07, array([1.18473507e-06]), array([2.21731786e-06])]
[-4.5220443239757505e-07, array([1.18928772e-06]), array([2.2438275e-06])]
[-4.6989743628859176e-07, array([1.19946951e-06]), array([2.30311513e-06])]
[-4.7036377923712744e-07, array([1.24661561e-06]), array([2.34337712e-06])]
[-4.83483122648394e-07, array([1.29960868e-06]), array([2.43264595e-06])]
[-4.967332527876471e-07, array([1.35313004e-06]), array([2.5228047e-06])]
[-5.037952496855822e-07, array([1.43588073e-06]), array([2.57208743e-06])]
[-5.065426918924249e-07, array([1.46149405e-06]), array([2.59126068e-06])]
[-5.2245067269885e-07, array([1.49439322e-06]), array([2.64266818e-06])]
[-5.328776667343605e-07, array([1.5159572e-06]), array([2.67636358e-06])]
[-5.702766204545062e-07, array([1.57547152e-06]), array([2.76935931e-06])]
[-5.958948772605549e-07, array([1.59435414e-06]), array([2.81228854e-06])]
[-6.218850697534261e-07, array([1.61351089e-06]), array([2.85584102e-06])]
[-6.645163956463045e-07, array([1.64493344e-06]), array([2.9092895e-06])]
[-6.994586027848565e-07, array([1.66343876e-06]), array([2.9407663e-06])]
[-7.849017371983784e-07, array([1.68129552e-06]), array([2.98828263e-06])]
[-8.33806312288588e-07, array([1.6877404e-06]), array([3.00543228e-06])]
[-8.354165794654613e-07, array([1.70866999e-06]), array([3.01864289e-06])]
[-8.68844050708796e-07, array([1.71400096e-06]), array([3.02200776e-06])]
[-9.111921959224572e-07, array([1.7156389e-06]), array([3.06726206e-06])]
[-9.253127920011865e-07, array([1.74619271e-06]), array([3.10006821e-06])]
[-9.279245676043511e-07, array([1.79458946e-06]), array([3.16183757e-06])]
[-9.763199678105798e-07, array([1.82231491e-06]), array([3.18891495e-06])]
[-1.030480727526114e-06, array([1.85876405e-06]), array([3.2190708e-06])]
[-1.0679328448599717e-06, array([1.86611029e-06]), array([3.25229293e-06])]
[-1.1182217644547215e-06, array([1.89307206e-06]), array([3.2949984e-06])]
[-1.1346041769509914e-06, array([1.92724356e-06]), array([3.34912353e-06])]
[-1.1419389974985646e-06, array([1.98844524e-06]), array([3.35774567e-06])]
[-1.1722975162552319e-06, array([2.03035582e-06]), array([3.37011402e-06])]
[-1.1960978184900043e-06, array([2.05733699e-06]), array([3.37807651e-06])]
[-1.225806117104525e-06, array([2.09101575e-06]), array([3.43353067e-06])]
[-1.2778266081750781e-06, array([2.14322629e-06]), array([3.53063326e-06])]
[-1.3112722365769098e-06, array([2.1825397e-06]), array([3.5930636e-06])]
[-1.3380730230735803e-06, array([2.22205227e-06]), array([3.65581022e-06])]
[-1.3626544281191258e-06, array([2.2872865e-06]), array([3.71249356e-06])]
[-1.3672386639236744e-06, array([2.35923587e-06]), array([3.75037707e-06])]
[-1.414819419550155e-06, array([2.41110686e-06]), array([3.7776887e-06])]
[-1.438658954990347e-06, array([2.44792537e-06]), array([3.79707475e-06])]
[-1.5863270023892555e-06, array([2.47783331e-06]), array([3.91715682e-06])]
[-1.6343084056303537e-06, array([2.51687641e-06]), array([3.95116783e-06])]
[-1.6667630084735703e-06, array([2.54328514e-06]), array([3.97417287e-06])]
[-1.704527678730857e-06, array([2.56250869e-06]), array([3.99091879e-06])]
[-1.7065953224060116e-06, array([2.58703258e-06]), array([4.04955423e-06])]
[-1.7678501378407923e-06, array([2.60339365e-06]), array([4.08867275e-06])]
[-1.8407647221724766e-06, array([2.62286901e-06]), array([4.09629993e-06])]
[-1.8473039786497453e-06, array([2.65866654e-06]), array([4.11429257e-06])]
[-1.8782919933948253e-06, array([2.7103006e-06]), array([4.12904612e-06])]
[-1.958545967084804e-06, array([2.8440245e-06]), array([4.16725542e-06])]
[-1.9810874003943726e-06, array([2.8775684e-06]), array([4.1779875e-06])]
[-2.0204050791698374e-06, array([2.93611752e-06]), array([4.1967198e-06])]
[-2.0562041873206968e-06, array([2.94438055e-06]), array([4.21402946e-06])]
[-2.0812958844173537e-06, array([2.95801107e-06]), array([4.24258312e-06])]
[-2.127596143693029e-06, array([2.97317113e-06]), array([4.27434091e-06])]
[-2.1497361543924376e-06, array([2.98271949e-06]), array([4.28952695e-06])]
[-2.1987872388536264e-06, array([3.02061024e-06]), array([4.29103742e-06])]
[-2.2254070081774465e-06, array([3.03963115e-06]), array([4.29185715e-06])]
[-2.283372463709105e-06, array([3.05425781e-06]), array([4.29236857e-06])]
[-2.313380745199087e-06, array([3.1004685e-06]), array([4.32079523e-06])]
[-2.3714018266750064e-06, array([3.13290573e-06]), array([4.34074911e-06])]
[-2.5311088820456445e-06, array([3.22219148e-06]), array([4.39567353e-06])]
[-2.5380453346514336e-06, array([3.28045525e-06]), array([4.43151469e-06])]
